ID,Cusip,Ticker from BQNT,Name,Pricing Date,Maturity Date,First call date,Redeemable,First Put  Date,Issue Size ($mm),Conversion Premium,Coupon,Conversion Price (at issue),Conversion Ratio (at issue),Conversion Price (adjusted),Conversion Ratio (adjusted),Split,Multiplier,Upper Strike (adjusted),Derivative,Type,Upper Strike,Effective Premium,Derivative Cost,Cost in Bond Points,VWAP Period,Net Proceeds,Date of Transaction,Maturity/Put,Term,Unadjusted Share price at issue,Adjusted Stock price at issue,Adjusted Stock price at maturity,CAGR (Adj),CAGR (unadj),Stock Price,Conversion Price
18,375558AL7 Corp,GILD,GILD 1 05/01/14,7/26/2010,5/1/2014,-,No,-,1250,0.350104822,0.01,45.08000183,22.1845,22.5383,44.369,Yes,0.499961353,28.37930626,Yes,Tax-Integrated,56.763,0.7,89.65,0.07172,80,1160.35,5/1/2014,Maturity,4,33.39,16.695,78.49,0.508687514,0.352004377,103.8971,22.53825869
19,879369AA4 Corp,TFX,TFX 3 7/8 08/01/17,8/3/2010,8/1/2017,-,No,-,400,0.150037509,0.03875,61.31809374,16.3084,61.3181,16.3084,No,,74.648,Yes,Tax-Integrated,74.648,0.4,28.6,0.0715,80,371.4,8/1/2017,Maturity,7,53.32,53.32,207.22,0.214191289,0.255027657,261.1651,61.31809374
20,56400PAB8 Corp,MNKD,MNKD 5 3/4 08/15/15,8/18/2010,8/15/2015,8/24/2010,Soft Call,-,100,0.225225225,0.0575,6.798748214,147.0859,6.7987,147.0859,No,,,No,,,,,,,100,8/15/2015,Maturity,5,5.97,29.85,20.45,-0.072967513,-0.072967513,4.09,6.798743592
21,124805AC6 Corp,CBZ,CBZ 4 7/8 10/01/15,9/21/2010,10/1/2015,-,No,-,130,0.349726776,0.04875,7.411497456,134.9255,7.4115,134.9255,No,,,No,,,,,,,130,10/1/2015,Maturity,5,5.49,5.49,9.82,0.122609673,0.122609673,9.82,7.411524921
22,92532FAN0 Corp,VRTX,VRTX 3.35 10/01/15,9/22/2010,10/1/2015,9/28/2010,Soft Call/Call,-,400,0.350013824,0.0335,48.82955555,20.4794,48.8296,20.4794,No,,,No,,,,,,,400,10/1/2015,Maturity,5,36.17,36.17,104.14,0.234232076,0.234232076,104.14,48.82955555
23,651718AC2 Corp,NPKI,NR 4 10/01/17,9/28/2010,10/1/2017,-,No,-,172.5,0.359703337,0.04,11.00239522,90.8893,11.0024,90.8893,No,,,No,,,,,,,172.5,10/1/2017,Maturity,7,8.09,8.09,10,0.030705456,0.030705456,10,11.00239522
24,78444FAC0 Corp,SLG,SLG 3 10/15/17,10/5/2010,10/15/2017,-,No,-,345,0.299954552,0.03,85.80999756,11.6532,78.0683,12.8093,Yes,0.909780687,,No,,,,,,,345,10/15/2017,Maturity,7,66.01,70.015,109.769,0.066075845,0.066075859,103.49,78.06827852
25,171779AG6 Corp,CIEN,CIEN 3 3/4 10/15/18,10/12/2010,10/15/2018,-,No,-,350,0.325229961,0.0375,20.16649458,49.5872,20.1665,49.5872,No,,,No,,,,,,,350,10/15/2018,Maturity,8,15.22,15.22,29.03,0.08397077,0.08397077,29.03,20.16649458
26,393222AA2 Corp,GPRE,GPRE 5 3/4 11/01/15,10/28/2010,11/1/2015,11/1/2013,Soft Call,-,90,0.274911032,0.0575,14.33100033,69.7788,13.7559,72.6961,No,,,No,,,,,,,90,11/1/2015,Maturity,5,11.24,11.24,20.51,0.127594498,0.127594498,20.51,13.75589612
27,928298AG3 Corp,VSH,VSH 2 1/4 11/15/40,11/3/2010,11/15/2040,11/20/2020,Soft Call,-,275,0.124797407,0.025,13.88250637,72.0331,12.2228,81.8143,Yes,0.880446349,,No,,,,,,,275,-,-,-,12.34,12.34,24.571308,0.023197266,0.023197266,24.571308,12.22280205
28,526057BE3 Corp,LEN,LEN 2 3/4 12/15/20,11/4/2010,12/15/2020,12/20/2015,Call,12/15/2015,446,0.399746996,0.0275,22.13398142,45.1794,22.134,45.1794,No,,,No,,,,,,,446,12/15/2015,Put,5,15.81,15.165,46.6267,0.245620586,0.245621419,48.61,22.13398142
29,750236AK7 Corp,RDN,RDN 3 11/15/17,11/8/2010,11/15/2017,-,No,-,450,0.325396825,0.03,11.68650256,85.5688,11.6865,85.5688,No,,14.11,Yes,Capped Call,14.11,0.599773243,46.1,0.102444444,30,403.9,11/15/2017,Maturity,7,8.82,8.82,19.87,0.122665336,0.122995059,19.911,11.68650256
30,747906AF2 Corp,QMCO,QTM 3 1/2 11/15/15,11/9/2010,11/15/2015,-,No,-,135,0.324159021,0.035,4.332750001,230.8003,4.3328,230.8003,No,,,No,,,,,,,135,11/15/2015,Maturity,5,3.27,504.3794,143.322,-0.221830527,-0.221828409,0.9292,4.332755633
31,74348TAA0 Corp,PSEC,PSEC 6 1/4 12/15/15,12/15/2010,12/15/2015,-,No,-,150,0.099806202,0.0625,11.35000038,88.0902,11.1142,89.9752,No,,,No,,,,,,,150,12/15/2015,Maturity,5,10.32,10.32,6.2,-0.096886367,-0.096886367,6.2,11.11417368
32,03761UAA4 Corp,MFIC,MFIC 5 3/4 01/15/16,1/19/2011,1/15/2016,-,No,-,200,0.175213675,0.0575,13.74749967,72.7405,13.7475,72.7405,No,,,No,,,,,,,200,1/15/2016,Maturity,5,11.7,35.1,15.12,-0.155332051,-0.155332051,5.04,13.74749967
33,04010LAA1 Corp,ARCC,ARCC 5 3/4 02/01/16,1/19/2011,2/1/2016,-,No,-,575,0.175061425,0.0575,19.12899971,52.2766,18.3639,54.4546,Yes,0.960004275,,No,,,,,,,575,2/1/2016,Maturity,5,16.28,16.28,13.9,-0.030912497,-0.030912497,13.9,18.36392151
34,74348TAB8 Corp,PSEC,PSEC 5 1/2 08/15/16,2/14/2011,8/15/2016,-,No,-,172.5,0.1,0.055,12.76000023,78.3699,12.4658,80.2196,Yes,0.976942101,,No,,,,,,,172.5,8/15/2016,Maturity,5.5,11.6,11.6,8.34,-0.058196995,-0.058196995,8.34,12.46578143
35,680223AH7 Corp,ORI,ORI 3 3/4 03/15/18,3/2/2011,3/15/2018,-,No,-,550,0.324808184,0.0375,15.53999996,64.3407,14.5948,68.5174,Yes,0.939178435,,No,,,,,,,550,3/15/2018,Maturity,7,11.73,11.73,20.91,0.085628102,0.085628102,20.91,14.59483285
36,452327AC3 Corp,ILMN,ILMN 0 1/4 03/15/16,3/15/2011,3/15/2016,-,No,-,920,0.301604611,0.0025,83.55126288,11.9687,83.5513,11.9687,No,,,No,,,,,,,920,3/15/2016,Maturity,5,64.19,62.382,150.411,0.192460662,0.192460169,154.77,83.55126288
37,04010LAC7 Corp,ARCC,ARCC 5 1/8 06/01/16,3/22/2011,6/1/2016,-,No,-,230,0.175308642,0.05125,19.03500156,52.5348,19.035,52.5348,No,,,No,,,,,,,230,6/1/2016,Maturity,5,16.2,16.2,14.84,-0.016747738,-0.016747738,14.84,19.03500156
38,719405AG7 Corp,PLAB,PLAB 3 1/4 04/01/16,3/22/2011,4/1/2016,-,No,-,115,0.324393359,0.0325,10.37474621,96.3879,10.3747,96.3879,No,,,No,,,,,,,115,4/1/2016,Maturity,5,7.83,7.83,10.41,0.058314435,0.058314435,10.41,10.37474621
39,458660AA5 Corp,IDCC,IDCC 2 1/2 03/15/16,3/29/2011,3/15/2016,-,No,-,230,0.324982763,0.025,57.65000153,17.3458,55.1189,18.1426,Yes,0.95609523,63.43959555,Yes,Tax-Integrated,66.3528,0.525001149,10.9,0.047391304,80,219.1,3/15/2016,Maturity,5,43.51,43.51,52.49,0.038544834,0.086576371,65.6883,55.11889145
40,393657AG6 Corp,GBX,GBX 3 1/2 04/01/18,3/30/2011,4/1/2018,-,No,-,230,0.375135526,0.035,38.04624939,26.2838,35.63,28.0662,Yes,0.936492997,,No,,,,,,,230,4/1/2018,Maturity,7,27.67,27.67,50.25,0.088938733,0.088938733,50.25,35.63004611
41,31679BAA8 Corp,OCSL,OCSL 5 3/8 04/01/16,4/6/2011,4/1/2016,-,No,-,150,0.099850969,0.05375,14.76199966,67.7415,14.762,67.7415,No,,,No,,,,,,,150,4/1/2016,Maturity,5,13.42,40.26,15.06,-0.178982659,-0.178982659,5.02,14.76199966
42,427096AA0 Corp,HTGC,HTGC 6 04/15/16,4/11/2011,4/15/2016,-,No,-,75,0.149903288,0.06,11.89100266,84.0972,10.9417,91.3937,Yes,0.920164055,,No,,,,,,,75,4/15/2016,Maturity,5,10.34,10.34,12.13,0.032374581,0.032374581,12.13,10.94167322
43,670008AC5 Corp,LRCX,LRCX 2 5/8 05/15/41,5/4/2011,5/15/2041,5/21/2021,Soft Call,-,700,0.2,0.02625,39.50400162,25.3139,31.4457,31.8009,Yes,0.796011787,,No,,,,,,,700,-,-,-,47.37,4.737,1472.983482,0.210612835,0.12125878,1472.983482,31.44565091
44,512807AH1 Corp,LRCX,LRCX 0 1/2 05/15/16,5/5/2011,5/5/2016,-,No,-,450,0.325063078,0.005,63.01710129,15.8687,61.4386,16.2764,Yes,0.974951975,,No,,,,,,,450,5/5/2016,Maturity,5,47.56,4.756,7.49,0.095085414,0.095085414,74.9,61.43864737
45,512807AK4 Corp,LRCX,LRCX 1 1/4 05/15/18,5/5/2011,5/15/2018,-,No,-,450,0.325063078,0.0125,63.01710129,15.8687,59.872,16.7023,Yes,0.950091205,,No,,,,,,,450,5/15/2018,Maturity,7,47.56,4.756,20.403,0.230249497,0.230249497,204.03,59.87199368
46,928298AJ7 Corp,VSH,VSH 2 1/4 05/15/41,5/9/2011,5/15/2041,5/20/2021,Soft Call,-,150,0.124778238,0.0225,19.02373886,52.5659,16.8305,59.4161,Yes,0.884708064,,No,,,,,,,150,-,-,-,16.91,16.91,17.41386731,0.000978658,0.000978658,17.41386731,16.83045517
47,47759TAA8 Corp,JKS,JKS 4 05/15/16,5/11/2011,5/15/2016,-,No,5/15/2014,125,0.225045372,0.04,33.74878083,29.6307,33.7488,29.6307,No,,,No,,,,,,,125,5/15/2014,Put,3,27.55,27.55,26.26,-0.015800084,-0.015800084,26.26,33.74878083
48,112463AA2 Corp,BKD,BKD 2 3/4 06/15/18,6/8/2011,6/15/2018,-,No,-,316.25,0.275,0.0275,29.32499721,34.1006,29.325,34.1006,No,,,No,,,,,,,316.25,6/15/2018,Maturity,7,23,23,9.32,-0.12075342,-0.12075342,9.32,29.32499721
49,457985AJ8 Corp,IART,IART 1 5/8 12/15/16,6/9/2011,12/15/2016,-,No,-,230,0.229978587,0.01625,57.4408989,17.4092,52.8298,18.9287,Yes,0.919724984,,No,,,,,,,230,12/15/2016,Maturity,5.5,46.7,21.1056,41.45,0.130146575,0.109632147,82.9,52.82982984
50,670704AC9 Corp,GMED,GMED 2 3/4 07/01/17,6/22/2011,7/1/2017,-,No,-,402.5,0.299506477,0.0275,42.13293785,23.7344,42.1329,23.7344,No,,49.4253,Yes,Tax-Integrated,49.4253,0.524531154,32.2,0.08,80,370.3,7/1/2017,Maturity,6,32.42226074,32.42226074,33.15,0.003691022,0.013946996,35.244,42.13293785
51,45784PAC5 Corp,PODD,PODD 3 3/4 06/15/16,6/23/2011,6/15/2016,6/20/2014,Soft/Call,-,143.75,0.325240263,0.0375,26.19522252,38.1749,26.1952,38.1749,No,,,No,,,,,,,143.75,6/15/2016,Maturity,5,19.77,19.77,30.23,0.089057892,0.089057892,30.23,26.19522252
52,285512AB5 Corp,EA,EA 0 3/4 07/15/16,7/15/2011,7/15/2016,-,No,-,632.5,0.344915254,0.00753,31.73847497,31.5075,31.7385,31.5075,No,,,No,,,,,,,632.5,7/15/2016,Maturity,5,23.6,23.6,78.05,0.270258708,0.270258708,78.05,31.73847497
53,595112AL7 Corp,MU,MU 1 1/2 08/01/31,7/21/2011,8/1/2031,8/5/2013,Soft/Call,8/1/2018,345,0.24264225,0.015,9.4999962,105.2632,9.5,105.2632,Yes,1.0000019,11.40002166,Yes,Capped Call,11.4,0.4911707,28.4,0.094666667,30,316.6,8/1/2018,Put,7,7.645,7.645,52.79,0.31646156,0.305802684,49.8585,9.50001425
54,595112AM5 Corp,MU,MU 1 7/8 08/01/31,7/21/2011,8/1/2031,8/5/2014,Soft/Call,8/1/2018,345,0.24264225,0.01875,9.4999962,105.2632,9.5,105.2632,Yes,1.0000019,13.17002502,Yes,Capped Call,13.17,0.722694572,28.4,0.094666667,30,316.6,8/1/2018,Put,7,7.645,7.645,52.79,0.31646156,0.305802684,49.8585,9.50001425
55,31620RAD7 Corp,FNF,FNF 4 1/4 08/15/18,7/27/2011,8/15/2018,-,No,-,300,0.325138291,0.0425,21.55999947,46.387,12.7404,78.4905,Yes,0.590927442,,No,,,,,,,300,8/15/2018,Maturity,7,16.2699996,16.2699996,38.1815,0.128621424,0.134963255,39.72,12.74039533
56,004397AA3 Corp,ARAY,ARAY 3 3/4 08/01/16,7/27/2011,8/1/2016,8/1/2014,Soft Call,-,100,0.324475524,0.0375,9.473752023,105.5548,9.4738,105.5548,No,,,No,,,,,,,100,8/1/2016,Maturity,5,7.15,7.15,5.48,-0.051699162,-0.051699162,5.48,9.473734072
57,16115QAC4 Corp,GTLS,GTLS 2 08/01/18,7/28/2011,8/1/2018,-,No,-,250,0.3,0.02,69.02978635,14.4865,69.0298,14.4865,No,,84.96,Yes,Tax-Integrated,84.96,0.6,17.6,0.0704,80,232.4,8/1/2018,Maturity,7,53.1,53.1,78.09,0.056574798,0.039317558,69.578,69.02978635
58,91307CAE2 Corp,UTHR,UTHR 1 09/15/16,10/11/2011,9/15/2016,-,No,-,250,0.200050327,0.01,47.68990119,20.9688,47.6899,20.9688,No,,67.56,Yes,Tax-Integrated,67.56,0.700050327,33.3,0.1332,80,216.7,9/15/2016,Maturity,5,39.74,39.74,122.53,0.256713637,0.305564661,147.862,47.68990119
59,75886FAC1 Corp,REGN,REGN 1 7/8 10/01/16,10/17/2011,10/1/2016,-,No,-,400,0.300015473,0.01875,84.0187866,11.9021,84.0188,11.9021,No,,103.41,Yes,Tax-Integrated,103.41,0.600030945,23.7,0.05925,80,376.3,10/1/2016,Maturity,5,64.63,64.63,402.02,0.446060893,0.422864191,371.06,84.0187866
60,874054AB5 Corp,TTWO,TTWO 1 3/4 12/01/16,11/10/2011,12/1/2016,-,No,-,250,0.324774462,0.0175,19.09326103,52.3745,19.0933,52.3745,No,,,No,,,,,,,250,12/1/2016,Maturity,5,14.41,14.41,49.23,0.274918847,0.274918847,49.23,19.09326103
61,00912XAA2 Corp,AL,AL 3 7/8 12/01/18,11/15/2011,12/1/2018,-,No,-,200,0.35015632,0.03875,30.22649956,33.0836,29.2206,34.2224,Yes,0.966722176,,No,,,,,,,200,12/1/2018,Maturity,7,22.39,22.39,38.86,0.081411891,0.081411891,38.86,29.22062743
62,88554DAA4 Corp,DDD,DDD 5 1/2 12/15/16,11/18/2011,12/15/2016,-,No,-,152,0.275103981,0.055,21.45999908,46.6021,14.3055,69.9032,Yes,0.666612179,,No,,,,,,,152,12/15/2016,Maturity,5,5.61,11.22,15.11,0.06040615,0.215593847,15.11,14.30549674
63,526057BG8 Corp,LEN,LEN 3 1/4 11/15/21,11/22/2011,11/15/2021,11/20/2016,Call,11/15/2016,400,0.375073142,0.0325,23.49872519,42.5555,23.4987,42.5555,No,,,No,,,,,,,400,11/15/2016,Put,5,17.09,16.3927,40.6029,0.199744811,0.199744613,42.33,23.49872519
64,220480AA5 Corp,AMRN,AMRN 3 1/2 01/15/32,1/3/2012,1/15/2032,1/19/2017,Call,1/19/2017,150,0.24964539,0.035,8.812498238,113.4752,8.8125,113.4752,No,,,No,,,,,,,150,1/19/2017,Put,5,7.05,7.05,2.92,-0.160320993,-0.160320993,2.92,8.81251377
65,42330PAG2 Corp,HLX,HLX 3 1/4 03/15/32,3/6/2012,3/15/2032,3/20/2018,Call,3/15/2018,200,0.350242849,0.0325,25.01550962,39.9752,25.0155,39.9752,No,,,No,,,,,,,200,3/15/2018,Put,6,18.53,18.53,6.05,-0.169544864,-0.169544864,6.05,25.01550962
66,741503AP1 Corp,BKNG,BKNG 1 03/15/18,3/6/2012,3/15/2018,-,No,-,1000,0.5,0.01,944.6439209,1.0586,944.6439,1.0586,No,,,No,,,,,,,1000,3/15/2018,Maturity,6,629.74,629.74,2188.9,0.229711572,0.229711572,2188.9,944.6438693
67,74348TAF9 Corp,PSEC,PSEC 5 3/8 10/15/17,4/10/2012,10/15/2017,-,No,-,130,0.100094429,0.05375,11.6490097,85.8442,11.3958,87.7516,Yes,0.978263724,,No,,,,,,,130,10/15/2017,Maturity,5.5,10.59,10.59,6.27,-0.09067891,-0.09067891,6.27,11.39580361
68,595112AN3 Corp,MU,MU 2 3/8 05/01/32,4/12/2012,5/1/2032,5/1/2016,Soft/Call,5/1/2019,550,0.347795661,0.02375,9.625500646,103.8907,9.6255,103.8907,No,,14.26,Yes,Capped Call,14.26,0.996734179,51.5,0.093636364,30,498.5,5/1/2019,Put,7,7.145,7.145,42.06,0.285754309,0.259674242,36.4,9.625472851
69,595112AP8 Corp,MU,MU 3 1/8 05/01/32,4/12/2012,5/1/2032,5/1/2017,Soft/Call,5/1/2021,450,0.396780966,0.03125,9.98200245,100.1803,9.982,100.1803,No,,16.04,Yes,Capped Call,16.04,1.244476176,51.5,0.114444444,30,398.5,5/1/2021,Put,9,7.145,7.145,86.07,0.316419313,0.308880706,81.7095,9.982032342
70,929566AH0 Corp,WNC,WNC 3 3/8 05/01/18,4/17/2012,5/1/2018,-,No,-,150,0.349480969,0.03375,11.70450342,85.4372,11.7045,85.4372,No,,,No,,,,,,,150,5/1/2018,Maturity,6,8.67,8.67,20.06,0.149020101,0.149020101,20.06,11.70450342
71,035710AB8 Corp,NLY,NLY 5 05/15/15,5/8/2012,5/15/2015,-,No,-,750,0.149969642,0.05,18.94050598,52.7969,18.9405,52.7969,No,,,No,,,,,,,750,5/15/2015,Maturity,3,16.47,65.88,40.48,-0.148960598,-0.148960598,10.12,18.94050598
72,928298AL2 Corp,VSH,VSH 2 1/4 06/01/42,5/29/2012,6/1/2042,6/7/2022,Soft Call,-,150,0.137764933,0.0225,11.80729961,84.6937,10.8511,92.1569,Yes,0.919012812,,No,,,,,,,150,-,-,-,10.38,10.38,33.773127,0.040102089,0.040102089,33.773127,10.85105962
73,780287AA6 Corp,RGLD,RGLD 2 7/8 06/15/19,6/14/2012,6/15/2019,7/1/2017,Soft Call,-,370,0.349955134,0.02875,105.3099976,9.4955,102.1586,9.7887,Yes,0.970075148,,No,,,,,,,370,6/15/2019,Maturity,7,78.01,78.01,95.1,0.028691518,0.028691518,95.1,102.1586115
74,374396AA7 Corp,GEVO,GEVO 7 1/2 07/01/22,6/28/2012,7/1/2022,7/1/2015,Soft/Call,7/1/2017,45,0.149494949,0.075,5.692500114,175.6697,1707.7421,0.5856,Yes,299.9988684,,No,,,,,,,45,7/1/2017,Put,5,4.95,29699.8515,13.782,-0.784016342,-0.325440324,0.6891,1707.743593
75,464337AF1 Corp,IONS,IONS 2 3/4 10/01/19,8/7/2012,10/1/2019,10/5/2016,Soft Call,-,201.25,0.325099602,0.0275,16.62875311,60.1368,16.6288,60.1368,No,,,No,,,,,,,201.25,10/1/2019,Maturity,7,12.55,12.55,59.91,0.24435655,0.24435655,59.91,16.62875311
76,74348TAG7 Corp,PSEC,PSEC 5 3/4 03/15/18,8/8/2012,3/15/2018,-,No,-,200,0.099637681,0.0575,12.1440134,82.3451,11.8836,84.1497,No,,,No,,,,,,,200,3/15/2018,Maturity,5.5,11.04,11.04,6.51,-0.089964885,-0.089964885,6.51,11.88358366
77,30161QAC8 Corp,EXEL,EXEL 4 1/4 08/15/19,8/8/2012,8/15/2019,8/15/2016,Soft Call,-,287.5,0.239495798,0.0425,5.312499834,188.2353,5.3125,188.2353,No,,,No,,,,,,,287.5,8/15/2019,Maturity,7,4.284,4.284,19.9,0.244578459,0.244578459,19.9,5.312508301
78,88947EAL4 Corp,TOL,TOL 0 1/2 09/15/32,9/5/2012,9/15/2032,9/15/2017,Call,12/15/2017,287.5,0.49908369,0.005,49.08000183,20.3749,48.8713,20.4619,No,,,No,,,,,,,287.5,12/15/2017,Put,5.5,32.74,32.74,47.08,0.071250278,0.071250278,47.08,48.87131694
79,59001AAR3 Corp,MTH,MTH 1 7/8 09/15/32,9/12/2012,9/15/2032,9/20/2017,Call,9/15/2017,126.5,0.474885845,0.01875,58.14460563,17.1985,58.1446,17.1985,No,,,No,,,,,,,126.5,9/15/2017,Put,5,39.42,19.71,20.4,0.00689396,0.00689396,40.8,58.14460563
80,983793AA8 Corp,XPO,XPO 4 1/2 10/01/17,9/20/2012,10/1/2017,10/1/2015,Soft Call,-,143.75,0.274631497,0.045,16.43474502,60.8467,16.4347,60.8467,No,,,No,,,,,,,143.75,10/1/2017,Maturity,5,12.89,4.4556,23.429,0.390893338,0.390894032,67.78,16.43474502
81,442488BN1 Corp,HOV,HOV 6 12/01/17,9/20/2012,12/1/2017,-,No,-,100,0.403645833,0.06,5.38999875,185.5288,5.39,185.5288,No,,,No,,,,,,,100,12/1/2017,Maturity,5,3.84,96,71.25,-0.055753319,-0.055753319,2.85,5.389992939
82,04010LAH6 Corp,ARCC,ARCC 4 3/4 01/15/18,10/3/2012,1/15/2018,-,No,-,270,0.175044352,0.0475,19.86926027,50.329,19.8693,50.329,No,,,No,,,,,,,270,1/15/2018,Maturity,5.5,16.91,16.91,16.03,-0.010064443,-0.010064443,16.03,19.86926027
83,98919TAB6 Corp,ZAZA,ZAZA 9 08/01/17,10/16/2012,8/1/2017,8/1/2015,Soft Call,-,40,0.322751323,0.09,2.5,400,25,40,Yes,10,,No,,,,,,,40,8/1/2017,Maturity,5,1.89,18.9,0.0251,-0.749027097,-0.594190241,0.0251,25
